,Action,Drama,Supernatural,Suspense,Adventure,Fantasy,Comedy,Romance,Horror,Sci-Fi,Ecchi,Mystery,Sports,Award Winning,Avant Garde,Slice of Life,Gourmet,Boys Love,Girls Love,Hentai,Erotica,Score
229,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.621
230,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.441
231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.561
232,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.991
233,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.221
234,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.361
235,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.201
236,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8.151
237,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.991
238,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.541
239,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.311
240,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.551
241,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.391
242,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.221
243,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.241
244,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.361
245,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.321
246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.431
247,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.651
248,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.571
249,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.461
250,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.571
251,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8.071
252,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.381
253,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.491
254,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.581
255,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.581
256,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.001
257,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.691
258,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.691
259,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.981
260,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.121
261,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.021
262,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.731
263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.991
264,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451
265,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.151
266,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.271
267,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.831
268,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.361
269,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.381
270,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6.761
271,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.791
272,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.881
273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.121
274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.171
275,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.371
276,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.751
